Timestamp,Timestamp (ISO 8601),Distance (cm),Fullness (%),Lid Status,CPU Temp (°C),current_fullness,fill_rate,hour,dayofweek
2025-11-25 10:55:53.217000+00:00,2025-11-25T10:55:53.217Z,3,82.0,CLOSED,53.33,82,0.6,10,1
2025-11-25 11:08:23.200000+00:00,2025-11-25T11:08:23.200Z,2,88.0,CLOSED,53.33,88,1.2,11,1
2025-11-25 11:08:40.115000+00:00,2025-11-25T11:08:40.115Z,2,88.0,CLOSED,53.33,88,2.4,11,1
2025-11-25 11:08:54.926000+00:00,2025-11-25T11:08:54.926Z,2,88.0,CLOSED,37.78,88,3.6,11,1
2025-11-25 11:09:08.078000+00:00,2025-11-25T11:09:08.078Z,2,88.0,CLOSED,53.33,88,4.8,11,1
2025-11-25 11:09:24.913000+00:00,2025-11-25T11:09:24.913Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:09:40.621000+00:00,2025-11-25T11:09:40.621Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:09:55.127000+00:00,2025-11-25T11:09:55.127Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:10:10.339000+00:00,2025-11-25T11:10:10.339Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:10:25.518000+00:00,2025-11-25T11:10:25.518Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:10:38.544000+00:00,2025-11-25T11:10:38.544Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:10:53.447000+00:00,2025-11-25T11:10:53.447Z,2,88.0,CLOSED,37.78,88,6.0,11,1
2025-11-25 11:11:08.076000+00:00,2025-11-25T11:11:08.076Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:11:23.087000+00:00,2025-11-25T11:11:23.087Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:11:38.439000+00:00,2025-11-25T11:11:38.439Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:11:53.692000+00:00,2025-11-25T11:11:53.692Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:12:08.137000+00:00,2025-11-25T11:12:08.137Z,2,88.0,CLOSED,36.67,88,6.0,11,1
2025-11-25 11:12:23.159000+00:00,2025-11-25T11:12:23.159Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:12:38.956000+00:00,2025-11-25T11:12:38.956Z,2,88.0,CLOSED,36.67,88,6.0,11,1
2025-11-25 11:12:53.261000+00:00,2025-11-25T11:12:53.261Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:13:08.532000+00:00,2025-11-25T11:13:08.532Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:13:24.611000+00:00,2025-11-25T11:13:24.611Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:13:39.356000+00:00,2025-11-25T11:13:39.356Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:13:53.081000+00:00,2025-11-25T11:13:53.081Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:14:08.528000+00:00,2025-11-25T11:14:08.528Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:14:24.028000+00:00,2025-11-25T11:14:24.028Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:14:38.080000+00:00,2025-11-25T11:14:38.080Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:14:55.050000+00:00,2025-11-25T11:14:55.050Z,2,88.0,CLOSED,53.33,88,6.0,11,1
2025-11-25 11:15:08.153000+00:00,2025-11-25T11:15:08.153Z,2,88.0,CLOSED,53.33,88,6.6,11,1
2025-11-25 11:15:23.176000+00:00,2025-11-25T11:15:23.176Z,2,88.0,CLOSED,53.33,88,7.2,11,1
2025-11-25 11:15:37.947000+00:00,2025-11-25T11:15:37.947Z,2,88.0,CLOSED,53.33,88,7.8,11,1
2025-11-25 11:15:54.062000+00:00,2025-11-25T11:15:54.062Z,2,88.0,CLOSED,53.33,88,8.4,11,1
2025-11-25 11:16:08.866000+00:00,2025-11-25T11:16:08.866Z,2,88.0,CLOSED,53.33,88,9.0,11,1
2025-11-25 11:16:25.045000+00:00,2025-11-25T11:16:25.045Z,2,88.0,CLOSED,53.33,88,9.6,11,1
2025-11-25 11:16:38.054000+00:00,2025-11-25T11:16:38.054Z,2,88.0,CLOSED,53.33,88,10.2,11,1
2025-11-25 11:16:53.087000+00:00,2025-11-25T11:16:53.087Z,2,88.0,CLOSED,53.33,88,10.8,11,1
2025-11-25 11:17:10.072000+00:00,2025-11-25T11:17:10.072Z,2,88.0,CLOSED,53.33,88,11.4,11,1
2025-11-25 11:17:23.087000+00:00,2025-11-25T11:17:23.087Z,2,88.0,CLOSED,53.33,88,12.0,11,1
2025-11-25 11:17:38.201000+00:00,2025-11-25T11:17:38.201Z,2,88.0,CLOSED,53.33,88,12.0,11,1
2025-11-25 11:17:52.946000+00:00,2025-11-25T11:17:52.946Z,2,88.0,CLOSED,38.33,88,12.0,11,1
2025-11-25 11:18:08.004000+00:00,2025-11-25T11:18:08.004Z,2,88.0,CLOSED,53.33,88,12.0,11,1
2025-11-25 11:18:22.973000+00:00,2025-11-25T11:18:22.973Z,2,88.0,CLOSED,53.33,88,12.0,11,1
2025-11-25 11:18:37.989000+00:00,2025-11-25T11:18:37.989Z,2,88.0,CLOSED,53.33,88,12.0,11,1
2025-11-25 11:18:54.920000+00:00,2025-11-25T11:18:54.920Z,2,88.0,CLOSED,37.22,88,12.0,11,1
2025-11-25 11:19:07.915000+00:00,2025-11-25T11:19:07.915Z,2,88.0,CLOSED,53.33,88,12.0,11,1
