Timestamp (ISO 8601),Distance (cm),Fullness (%),Lid Status,CPU Temp (°C)
2025-11-24T05:30:31.809Z,16,5,CLOSED,53.33
2025-11-24T05:30:46.739Z,16,5,CLOSED,53.33
2025-11-24T05:31:01.927Z,16,5,CLOSED,53.33
2025-11-24T05:31:16.930Z,16,5,CLOSED,53.33
2025-11-24T05:31:31.942Z,15,11,CLOSED,53.33
2025-11-24T05:31:47.146Z,16,5,CLOSED,53.33
2025-11-24T05:32:01.754Z,16,5,CLOSED,53.33
2025-11-24T05:32:16.923Z,16,5,CLOSED,53.33
2025-11-24T05:32:32.480Z,16,5,CLOSED,53.33
2025-11-24T05:32:46.958Z,16,5,CLOSED,53.33
2025-11-24T05:33:02.451Z,16,5,CLOSED,53.33
2025-11-24T05:33:16.931Z,16,5,CLOSED,53.33
2025-11-24T05:33:31.890Z,15,11,CLOSED,53.33
2025-11-24T05:33:47.163Z,15,11,CLOSED,53.33
2025-11-24T05:34:01.878Z,16,5,CLOSED,53.33
2025-11-24T05:34:16.749Z,16,5,CLOSED,53.33
2025-11-24T05:34:31.715Z,16,5,CLOSED,53.33
2025-11-24T05:34:47.541Z,16,5,CLOSED,53.33
2025-11-24T05:35:02.047Z,16,5,CLOSED,53.33
2025-11-24T05:35:16.908Z,16,5,CLOSED,53.33
2025-11-24T05:35:31.701Z,16,5,CLOSED,53.33
2025-11-24T05:35:46.986Z,16,5,CLOSED,53.33
2025-11-24T05:36:02.398Z,16,5,CLOSED,37.22
2025-11-24T05:36:17.269Z,16,5,CLOSED,53.33
2025-11-24T05:36:31.717Z,16,5,CLOSED,36.11
2025-11-24T05:36:47.184Z,16,5,CLOSED,53.33
2025-11-24T05:37:01.607Z,16,5,CLOSED,53.33
2025-11-24T05:37:17.127Z,16,5,CLOSED,53.33
2025-11-24T05:37:31.723Z,16,5,CLOSED,53.33
2025-11-24T05:37:46.782Z,16,5,CLOSED,53.33
2025-11-24T05:38:02.009Z,16,5,CLOSED,53.33
2025-11-24T05:38:16.804Z,16,5,CLOSED,53.33
2025-11-24T05:38:32.437Z,16,5,CLOSED,53.33
2025-11-24T05:38:46.959Z,16,5,CLOSED,53.33
2025-11-24T05:39:01.963Z,16,5,CLOSED,53.33
2025-11-24T05:39:17.253Z,16,5,CLOSED,53.33
2025-11-24T05:39:31.726Z,16,5,CLOSED,53.33
2025-11-24T05:39:46.996Z,16,5,CLOSED,53.33
2025-11-24T05:40:02.150Z,16,5,CLOSED,53.33
2025-11-24T05:40:16.830Z,16,5,CLOSED,53.33
2025-11-24T05:40:31.740Z,16,5,CLOSED,53.33
